"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
15,"Pediatrie","Aparat digestiv","Durere abdominală cu examen clinic normal","E","Ecografie","Doar cu aviz specializat","C","Ecografia trebuie efectuată  în cadrul unui bilanţ etiologic specializat și orientată de tabloul clinico-biologic.","Majoritatea cauzelor de durere abdominală,  moderată, neparoxistică, la copil (ca simptom izolat) nu sunt vizualizabile ecografic. Argumente diagnostice pot fi găsite în cazul unei examinari focalizate, în context clinico-biologic.",0,0
16,"Pediatrie","Aparat digestiv","Durere paroxistică. Invaginaţie intestinală acută","E","Ecografie","Indicat","A","În faţa unor dureri acute paroxistice sincopale, ecografia este un examen foarte sensibil pentru diagnosticul pozitiv al invaginaţiei. Dezinvaginarea prin clismă se poate efectua sub control ecografic  (de preferat pentru reducerea iradierii) sau sub control fluoroscopic. Accesul la suport chirurgical este necesar (risc de complicații).","Volvulusul intestinal trebuie avut în vedere ca diagnostic diferențial.",0,0
17,"Pediatrie","Aparat digestiv","Durere paroxistică. Invaginaţie intestinală acută","X","Clismă salina sub control ecografic sau cu suspensie baritata / aer sub control fluoroscopic","Doar cu aviz specializat","B","În faţa unor dureri acute paroxistice sincopale, ecografia este un examen foarte sensibil pentru diagnosticul pozitiv al invaginaţiei. Dezinvaginarea prin clismă se poate efectua sub control ecografic  (de preferat pentru reducerea iradierii) sau sub control fluoroscopic. Accesul la suport chirurgical este necesar (risc de complicații).","Volvulusul intestinal trebuie avut în vedere ca diagnostic diferențial.",1,2
18,"Pediatrie","Aparat digestiv","Icter neonatal colestatic persistent timp de 1 lună","E","Ecografie","Indicat","B","O investigaţie precoce (înainte de 8 săptămâni) este esenţială. Absenţa dilataţiei de căi biliare şi prezenţa colecistului nu exclude diagnosticul de atrezie.","Colecistul foarte mic la ecografii repetate este un argument important pentru atrezia biliară.",0,0
19,"Pediatrie","Aparat digestiv","Icter neonatal colestatic persistent timp de 1 lună","M","IRM - Colangio IRM","Doar cu aviz specializat","B","Colangio-IRM-ul este util în evaluarea preoperatorie a dilataţiilor arborelui biliar (identificate ecografic).",,0,0
20,"Pediatrie","Aparat digestiv","Icter neonatal colestatic persistent timp de 1 lună","N","Scintigrafie (99mTc-HIDA)","Doar cu aviz specializat","B","Investigarea anomaliilor congenitale ale sistemului biliar, inclusiv atrezia biliară și chisturile coledociene.",,2,3
21,"Pediatrie","Aparat digestiv","Ingestie sau inhalație de corp străin, la copil","G","Rg abdominală simplă, toracică, cervicală","Doar în cazuri particulare","C","Radiografia cervico-toraco-abdominală este utilă inițial  doar în cazul ingestiei de corp străin ascuţit sau potenţial toxic (inclusiv baterii sau magneți) și care poate fi vizibil radiologic. Dacă evacuarea corpului străin (potențial vizualizabil) nu este sigură, trebuie efectuată eventual o radiografie abdominală simplă la 6 zile. Radiografia toracică de față în inspir și expir este indicată pentru a identifica o tulburare de ventilație localizată dar radiografia, chiar și în expir poate fi normală; orice dubiu impune bronhoscopie. Radiografia toracică, incluzând regiunea cervicală, este utilă în cazul unei disfagii.  Radiografia cervicală de profil poate completa examenul clinic (ORL).",,1,1
22,"Pediatrie","Aparat digestiv","Masă abdominală sau pelvină palpabilă","E","Ecografie","Indicat","B","În caz de confirmare a masei la ecografie, sunt indicate alte examene imagistice doar cu aviz specializat.",,0,0
23,"Pediatrie","Aparat digestiv","Masă abdominală sau pelvină palpabilă","G","Rg abdominală simplă","Indicat","B","În caz de confirmare a masei prin acestă tehnică de investigaţie, sunt indicate alte examene imagistice cu aviz specializat.",,2,2
24,"Pediatrie","Aparat digestiv","Masă abdominală sau pelvină palpabilă","M","IRM","Doar cu aviz specializat","B","IRM-ul pelvin este de preferat CT pentru evaluarea maselor pelvine.",,0,0
25,"Pediatrie","Aparat digestiv","Masă abdominală sau pelvină palpabilă","T","CT","Doar cu aviz specializat","B","Decizia investigării CT sau IRM este multifactorială și este luată de radiolog.",,2,3
26,"Pediatrie","Aparat digestiv","Melenă","Z","Explorari imagistice","Neindicat în primă intenție","C","Endoscopia este de primă intenție. Alte investigații sunt doar complementare, în cazuri particulare.",,0,3
27,"Pediatrie","Aparat digestiv","Rectoragie (semnificativa și de cauză neevidentă)","N"," Scintigrafie (Na[99mTc]TcO4)","Doar cu aviz specializat","C","Scintigrafia cu 99mTc- pertechnetat poate localiza anumiţi diverticuli Meckel cu mucoasă gastrică ectopică, la pacienții care prezintă pierdere de sânge ocultă sau acută sau simptome abdominale inexplicabile.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",2,2
28,"Pediatrie","Aparat digestiv","Rectoragie (semnificativă și de cauză neevidentă)","E","Ecografie","Indicat","C","Ecografia poate orienta diagnosticul spre o leziune localizată de intestin subţire sau colon (duplicaţie intestinală, polip, diverticul Meckel, invaginaţie);  este diagnostică pentru invaginație dar nu poate exclude un diverticul Meckel sau  polip.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",0,0
29,"Pediatrie","Aparat digestiv","Rectoragie (semnificativă și de cauză neevidentă)","G","Rg abdominală","Doar în cazuri particulare","C","Radiografia abdominală este utilă doar la noul-născut pentru diagnosticul enterocolitei ulcero-necrotice. La copilul mai mare, endoscopia este examenul de primă intenţie ce poate aduce cea mai mare contribuţie la diagnostic.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",1,2
30,"Pediatrie","Aparat digestiv","Rectoragie (semnificativă și de cauză neevidentă)","X","Tranzit de intestine subţire","Neindicat","C","În caz de suspiciune de diverticul Meckel, tranzitul intestinal nu este util deoarece este iradiant şi puţin performant. Laparoscopia trebuie să fie preferată când semnele clinice sunt evocatoare.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",3,3
31,"Pediatrie","Aparat digestiv","Traumatism abdominal minor (a se vedea și Traumatism major – capitolul Traumatisme)","E","Ecografie","Indicat","B","Ecografia este suficientă în primă intenţie pentru majoritatea traumatismelor abdominale minore şi izolate.",,0,0
32,"Pediatrie","Aparat digestiv","Traumatism abdominal minor (a se vedea și Traumatism major – capitolul Traumatisme)","G","Rg abdominală simplă","Doar în cazuri particulare","C","Radiografia abdominală simplă nu este utilă, cu excepţia cazului în care se caută un pneumoperitoneu (perforaţie de organe cavitare). ","Rg. Toracică este mai sensibilă în decelarea pneumoperitoneului (doar în ortostatism).",1,2
33,"Pediatrie","Aparat digestiv","Vărsături acute la copil","Z","Explorari imagistice","Neindicat în primă intenție","B","De obicei, vărsăturile la copil sunt cauzate de schimbarea sau diversificarea alimentației, greșeli alimentare, infecții de căi respiratorii, febră, gastroenterite, enteroviroze, enterocolite (inclusiv în fază pre-diareică). Imagistica poate deveni utilă după excluderea cauzelor obișnuite, ghidată de contextul clinic și evoluție.","Abdomenul acut, durerule paroxistice, deteriorarea stării generale, rectoragiile importante, vărsăturile bilioase, agravarea sub tratament - necesită consult chirurgical și aviz de specialitata pentru explorări imagistice.",0,3
34,"Pediatrie","Aparat digestiv","Vărsături cronice/recurente fără cauză evidentă","G","Radiografia abdominala simplă","Doar în cazuri particulare","B","Radiografia abdominală simplă poate identifica nivelul obstrucţiei instestinale.",,1,2
35,"Pediatrie","Aparat digestiv","Vărsături cronice/recurente fără cauză evidentă","E","Ecografie","Doar cu aviz specializat","C","De obicei, vărsăturile la copil sunt cauzate de schimbarea sau diversificarea alimentației, greșeli alimentare, infecții de căi respiratorii, febră, gastroenterite, enteroviroze, enterocolite (inclusiv în fază pre-diareică). Imagistica poate deveni utilă după excluderea cauzelor obișnuite, ghidată de contextul clinic și evoluție. Ecografia poate fi utilă în evaluarea axelor vasculare mezeterice (malrotație)  şi a arborelui biliar.","Deși poate identifica reflux gastro-esofagian, ecografia nu duce la schimbarea atitudinii terapeutice. Ecografia nu poate exclude refluxul (pH-metria este examenul  de referință).",0,0
36,"Pediatrie","Aparat digestiv","Vărsături cronice/recurente fără cauză evidentă","X","Tranzit eso- gastro- duodenal","Doar cu aviz specializat","B","Tranzitul eso-gastro-duodenal nu este indicat în caz de reflux gastro-esofagian (pH-metria este examenul de referinţă). Această investigaţie poate fi interesantă pentru căutarea unei hernii hiatale sau malrotaţii, mai ales în cazul în care este avut în vedere un tratament chirurgical. Dacă vărsăturile sunt bilioase, recurgerea la tranzitul eso-gastro- duodenal poate fi luată în discuție.",,2,2
37,"Pediatrie","Aparat digestiv","Vărsături în jet agravate, în primele trei luni","E","Ecografie","Indicat","A","Ecografia este indicată pentru diagnosticul stenozei hipertrofice de pilor. ","Tranzitul baritat poate pune diagnosticul dar nu este indicat decât în situațiile în care ecografia nu este disponibilă (limite tehnice sau de expertiză).",0,0
38,"Pediatrie","Aparat digestiv","Vărsături în jet la nou-născut","E","Ecografie","Indicat","A","Ecografia efectuată de medici cu expertiză poate evidenția o serie de malformații digestive: stenoză duodenală, volvulus intestinal, malrotație intestinală, peritonită meconială ",,0,0
39,"Pediatrie","Aparat digestiv","Vărsături în jet la nou-născut","G","Rg abdominală simplă","Doar în cazuri particulare","A","În absența unui expert sau în urgență, se poate face radiografia abdomninală simplă care evidentiază stenoza duodenală sau orientează diagnosticul către ocluzia neonatală înaltă (atrezie intestinală, peritonită meconială, etc)",,1,1
40,"Pediatrie","Aparat digestiv","Vărsături în jet la nou-născut","X","Tranzit eso- gastro- duodenal","Doar cu aviz specializat","A","Eevidențiază distensia gastrică / a anselor cu stopul substanței de contrast la nivelul obstrucției",,1,2
41,"Pediatrie","Aparat digestiv","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
42,"Pediatrie","Aparat locomotor","Boala Osgood-Schlatter","G","Rg standard de genunchi","Doar în cazuri particulare","C","Diagnosticul este clinic. Anomaliile osoase radiologice observate în boala Osgood-Schlatter pot corespunde unor variante de normal. Tumefacţia ţesuturilor moi trebuie evaluată clinic. Afectarea este de obicei bilaterală, în prezenţa unei simptomatologii asimetrice sau unilaterale se pot face radiografii (pentru exculderea unei alte patologii) ",,1,1
43,"Pediatrie","Aparat locomotor","Displazia congenitală de șold","E","Ecografie","Indicat","A","Ecografia este indicată la vârsta de 4-6 săptămâni în cazul existenţei de factori de risc (antecedente, prezentație pelvină, sarcină gemelară, deformații membre) sau semne clinice (asimetrie de abducţie, manevra Barlow, Ortolani). Radiografia poate fi necesară la copiii mai mari (peste 4-6 luni).","Îm unele țări se realizează screening ecografic general la 3-6 săptămâni.",0,0
44,"Pediatrie","Aparat locomotor","Durere osoasă focalizată","G","Rg standard","Indicat","B","Radiografia este investigaţia de primă linie. La momentul iniţial, radiografiile pot fi normale și poate fi indicată repetarea în evoluție.","Decelarea unor infecții sau tumori este urmată de explorări suplimentare, cu aviz specializat.",1,1
45,"Pediatrie","Aparat locomotor","Durere osoasă focalizată","E","Ecografie","Doar în cazuri particulare","C","Ecografia poate fi utilă pentru detecţia de infecţii sau fracturi nevizualizate (încă) radiografic.",,0,0
46,"Pediatrie","Aparat locomotor","Durere osoasă focalizată","M","IRM","Doar în cazuri particulare","B","IRM-ul este util în cazul în care copilul poate localiza locul dureros, putând identifica fracturi oculte când radiografia e normală.","Doar când se iau în discuție diagnostice diferențiale de tumoră sau infecție.",0,0
47,"Pediatrie","Aparat locomotor","Durere osoasă focalizată","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar cu aviz specializat","B","Scintigrafia este utilă dacă durerea nu este bine localizată dar se suspectează o infecţie sau traumă recentă. Pentru o suspiciune de infectie se poate indica scintigrafie cu radiotrasori specifici (leucocite radiomarcate, anticorpi monoclonali radiomarcati) sau PET-CT cu F18-FDG (in functie de disponibilitate). ",,3,3
48,"Pediatrie","Aparat locomotor","Durere osoasă focalizată","T","CT","Doar cu aviz specializat","B","CT-ul este util in diagnosticul osteomului osteoid. Poate identifica fracturi oculte când radiografia este normală.",,2,2
49,"Pediatrie","Aparat locomotor","Scolioză","G","Radiografie standard","Doar cu aviz specializat","C","Radiografierea coloanei vertebrale este efectuată pentru stabilirea diagnosticului pozitiv şi pentru bilanţul preoperator. Nu trebuie repetată sistematic în afara perioadelor de evolutivitate clinică manifestă (în general în perioada de creștere a copilului). ","Protocol special al radiografiei de coloană în caz de scolioză. Pentru monitorizarea evoluției curburilor se realizează radiografii cu doză redusă.",1,1
50,"Pediatrie","Aparat locomotor","Scolioză","M","IRM","Doar cu aviz specializat","C","IRM-ul este util în prezenţa unei scolioze dureroase, în context malfomativ, în caz de semne neurologice sau în bilanţul preoperator al scoliozelor. ",,0,0
51,"Pediatrie","Aparat locomotor","Scolioză","T","CT","Doar cu aviz specializat","C","CT-ul este util în caz de malformaţii vertebrale în bilanţul preoperator.",,2,2
52,"Pediatrie","Aparat locomotor","Şold dureros Defect de mers","E","Ecografie","Indicat","B","Ecografia identifică lichidul sinovial, dar nu poate diferenţia sinovita coxofemurală de osteoartrită, epifizioliză sau osteocondrită (Legg-Calve). Se asociază radiografiei de bazin.",,0,0
53,"Pediatrie","Aparat locomotor","Şold dureros Defect de mers","G","Rg standard de bazin","Indicat","C","Dacă este avută în vedere epifizioliza / alunecarea epifzară, trebuie efectuat în plus față de rg. de faţă şi radiografie de profil pentru fiecare şold. ",,1,2
54,"Pediatrie","Aparat locomotor","Şold dureros Defect de mers","M","IRM ","Doar în cazuri particulare","B","Dacă radiografiile sunt normale şi se presupune existenţa unei infecţii sau osteocondrită (Legg-Calve), sau când simptomatologia persistă, se poate avea în vedere IRM-ul .",,0,0
55,"Pediatrie","Aparat locomotor","Şold dureros Defect de mers","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar în cazuri particulare","B","Dacă radiografiile sunt normale şi se presupune existenţa unei infecţii, se poate avea în vedere scintigrafia (sau examen PET-CT cu F18-FDG)",,3,3
56,"Pediatrie","Aparat locomotor","Talie mică, întârziere de creştere","E","Ecografie","Doar cu aviz specializat","B","Ecografia pelvină este indicată pentru aprecierea aspectului organelor genitale interne (uter, ovare, grad de dezvoltare hormono-dependentă si căutarea unor malformații ale acestora)",,0,0
57,"Pediatrie","Aparat locomotor","Talie mică, întârziere de creştere","G","Rg standard","Doar cu aviz specializat","A","Radiografia de mână-pumn stânga (sau partea nedominantă) în incidenţă de faţă, după vârsta de 1 an, este utilă pentru aprecierea vârstei osoase. Pentru căutarea semnelor de osteocondrodisplazie pot fi utile alte radiografii ale scheletului.",,1,1
58,"Pediatrie","Aparat locomotor","Talie mică, întârziere de creştere","M","IRM","Doar cu aviz specializat","B","Un examen IRM al regiunii hipotalamo-hipofizare poate fi indicat în anumite cazuri.",,0,0
59,"Pediatrie","Aparat locomotor","Traumatism nonaccidental – Maltratare","G","Rg standard","Indicat","A","Înainte de împlinirea vârstei de 2 ani, examenul radiografic al întregului schelet  (pe segmente, inclusiv craniu) este indicat. După 2 ani, examenul este condus în funcţie de constatările clinice",,1,1
60,"Pediatrie","Aparat locomotor","Traumatism nonaccidental – Maltratare","E","Ecografie","Doar în cazuri particulare","C","Ecografia transfontanelară poate evidenţia colecţii hematice importante. În caz de maltratare, sensibilitatea metodei nu este suficientă deoarece decelarea unor leziuni mici poate fi determinantă pentru diagnostic. Ecografia abdominală este indicată pentru căutarea leziunilor viscerale asociate.","Ecografia abdominală are sensibilitate destul de mică în acest context clinic. În caz de creșteri enzimatice (transaminaze >80 UI/L) este indicat CT. Ecografia cu contrast ar putea deveni o alternativă.",0,0
61,"Pediatrie","Aparat locomotor","Traumatism nonaccidental – Maltratare","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar în cazuri particulare","A","Scintigrafia osoasă este utilă pentru detectarea fracturilor oculte. Este mai sensibilă, dar puţin specifică. Ea permite examenul întregului schelet într-un singur timp. PET constituie o alternativă.",,3,3
62,"Pediatrie","Aparat locomotor","Traumatism nonaccidental – Maltratare","M","IRM cerebral","Doar cu aviz specializat","B","IRM-ul este în general indicat, chiar în absenţa suspectării unei leziuni craniene sau a unor manifestări neurologice. IRM poate furniza date privitor la cronologia leziunilor.",,0,0
63,"Pediatrie","Aparat locomotor","Traumatism nonaccidental – Maltratare","T","CT cerebral","Doar cu aviz specializat","B","CT-ul cranian este indicat în cazul oricarei suspiciuni de maltratare la copil cu semne neurologice acute sau hemoragie retiniană. ",,2,2
64,"Pediatrie","Aparat locomotor","Traumatism unilateral de membru – comparativ cu membrul controlateral la copil","G","Rg standard ","Doar cu aviz specializat","B","Radiografia comparativă se face doar la indicaţia radiologului.",,1,1
65,"Pediatrie","Aparat locomotor","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
66,"Pediatrie","Gât şi coloană vertebrală","Adenopatii  cervicale","E","Ecografie","Doar în cazuri particulare","C","Pentru adenopatiile copilului, cu caractere inflamatorii sau într-un context sugestiv pentru infecție, nu este necesară imagistica în primă intenție. In caz de adenopatii persistente se recomandă ecografie, eventual IRM sau CT ulterior (vezi și Capitolul: Cancer - Adenopatii cervicale). În caz de adenopatii complicate (abces, flegmon) poate fi uneori necesară explorarea imagistică, începând cu ecografia.",,0,0
67,"Pediatrie","Gât şi coloană vertebrală","Anomalii cutanate  sau hipetricoza de linie mediană posterioară","E","Ecografie","Doar în cazuri particulare","B","Înaintea vârstei de doua luni, în caz de context malformativ sau dacă leziunea este de peste 5 mm şi se situează la mai mult de 25 mm de anus este justificată efectuarea de examen ecografic. ",,0,0
68,"Pediatrie","Gât şi coloană vertebrală","Anomalii cutanate  sau hipetricoza de linie mediană posterioară","M","IRM","Doar în cazuri particulare","B","IRM-ul nu este indicat decât în caz de existenţă a semnelor asociate (pes cavus, vezică neurologică), anomalie cutanata situata inalt sau anomalii spinale descoperite ecografic.",,0,0
69,"Pediatrie","Gât şi coloană vertebrală","Durere vertebrală","G","Rg standard","Indicat","B","Radiografia contribuie la diagnostic în cazul unei dureri localizate persistente,  în cazul unei anomalii congenitale sau al unor tulburări de statică.","În cazul durerii netraumatice, persistența mai mult de câteva săptamâni și asocierea redorii necesită explorarea imagistică. ",1,1
70,"Pediatrie","Gât şi coloană vertebrală","Durere vertebrală","M","IRM","Doar cu aviz specializat","B","IRM-ul este indicat în cazul în care durerea persistă şi radiografiile sunt normale. IRM-ul arată anomaliile rahidiene, discale, medulare şi paraverterale.","În cazul durerii netraumatice, persistența mai mult de câteva săptamâni și asocierea redorii necesită explorarea imagistică. ",0,0
71,"Pediatrie","Gât şi coloană vertebrală","Durere vertebrală","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Doar cu aviz specializat","B","Este indicată ca alternativă la IRM in circumstanţe specifice (pentru diagnosticul leziunilor de stres si spondilolizei).",,3,3
72,"Pediatrie","Gât şi coloană vertebrală","Durere vertebrală","T","CT","Doar cu aviz specializat","B","CT-ul este util pentru caracterizarea unei anomalii descoperite la scintigrafie sau IRM (ex. Osteom osteoid) sau în anomalii vertebrale malformative.",,2,2
73,"Pediatrie","Gât şi coloană vertebrală","Hipotiroidie congenitală","E","Ecografie","Doar cu aviz specializat","A","Ecografia poate stabili diagnosticul de agenezie sau guşă congenitală.",,0,0
74,"Pediatrie","Gât şi coloană vertebrală","Hipotiroidie congenitală","N","Scintigrafie (99mTc pertechnetat, Iod 123)","Doar cu aviz specializat","A","Scintigrafia tiroidiana cu Iod 123 sau 99mTc pertechnetat permite diagnosticul de ectopie, agenezie, hipoplazie.",,3,3
75,"Pediatrie","Gât şi coloană vertebrală","Rinofaringite recidivante, Congestie nazală","G","Radiografie standard cavum profil","Neindicat","C","Radiografia de profil de cavum nu este utilă pentru a fi efectuată de rutină. Ea nu contribuie la luarea deciziei chirurgicale. Indicaţiile de adenoidectomie se bazează pe clinică. ",,1,1
76,"Pediatrie","Gât şi coloană vertebrală","Spina bifida ocultă L5 sau S1","Z","Examene imagistice","Doar în cazuri particulare","B","Defectul de închidere a arcurilor posterioare este o variantă radiologică frecventă şi puţin semnificativă dacă este izolată (sau chiar însoţită de enurezis). Această situaţie nu justifică efectuarea de examene complementare de tip IRM, decât în cazul în care sunt asociate semne neurologice.",,0,3
77,"Pediatrie","Gât şi coloană vertebrală","Torticolis la nou-născut","E","Ecografie","Indicat","A","Arată tumefiere segmentară și  modificări de ecogenitate  ale mușchiului sternocleidomastoidian.","În torticolisul neonatal, dg. este clinic. Se poate completa, în cazuri particulare, cu ecografie cervicală și eventual ecografie transfontanelară.",0,0
78,"Pediatrie","Gât şi coloană vertebrală","Torticolis la nou-născut","G","Rg coloana cervicala","Neindicat","B","De obicei este vorba de o leziune miofibroblastică -declansată de traumatism minor, cu evoluție autolimitată","În torticolisul neonatal, dg. este clinic. Se poate completa în cazuri particulare, cu ecografie.",1,1
79,"Pediatrie","Gât şi coloană vertebrală","Torticolis netraumatic","G","Rg standard (coloană cervicală)","Neindicat","B","Devierea gâtului este adesea consecutivă unei contracturi, fără asociere cu leziune osoasă. Dacă simptomele persistă, sunt indicate alte tehnici imagistice (CT sau IRM) după un consult specializat.",,1,1
80,"Pediatrie","Gât şi coloană vertebrală","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
81,"Pediatrie","Sistem nervos central","Aspect anormal al craniului Anomalii de perimetru cranian","E","Ecografie","Indicat","B","Ecografia este în general suficientă pentru stabilirea diagnosticului de macrocranie simplă, în cazul în care fontanela anterioară este încă deschisă.",,0,0
82,"Pediatrie","Sistem nervos central","Aspect anormal al craniului Anomalii de perimetru cranian","M","IRM","Doar în cazuri particulare","B","IRM-ul poate fi indicat dacă fontanelele sunt închise.","Ecografia este în general suficientă pentru stabilirea diagnosticului de macrocranie simplă, în cazul în care fontanela anterioară este încă deschisă. Radiografia craniană este indicată în investigarea craniostenozei, în cazul în care se observă microcefalie sau plagiocefalie accentuată; CT poate fi indicat cu aviz specializat.",0,0
83,"Pediatrie","Sistem nervos central","Aspect anormal al craniului Anomalii de perimetru cranian","G","Rg standard (craniană)","Doar cu aviz specializat","B","Radiografia craniană este indicată în investigarea craniostenozei, în cazul în care se observă microcefalie sau plagiocefalie accentuată, dar realizarea şi interpretarea acesteia sunt delicate.",,1,1
84,"Pediatrie","Sistem nervos central","Aspect anormal al craniului Anomalii de perimetru cranian","T","CT","Doar cu aviz specializat","C","CT-ul 3D este util pentru bilanţul preoperator al craniostenozelor.",,2,2
85,"Pediatrie","Sistem nervos central","Boli congenitale (cerebrale şi spinale)","E","Ecografie","Indicat","B","Ecografia trebuie avută în vedere în primă intenţie la noul născut pentru investigarea sistematică a anomaliilor cerebrale şi medulare.",,0,0
86,"Pediatrie","Sistem nervos central","Boli congenitale (cerebrale şi spinale)","G","Rg standard","Indicat","B","Radiografia este utilă pt. anomaliile de aliniament şi scoliozele congenitale sau idiopatice.",,1,1
87,"Pediatrie","Sistem nervos central","Boli congenitale (cerebrale şi spinale)","M","IRM","Indicat","B","IRM-ul este examenul de referinţă pentru toate malformaţiile cerebrale şi spinale. ",,0,0
